,name,label,Trading Value
134,TIGER 원유선물Enhanced(H),0,1191019905
35,KODEX 200,1,206066273100
11,KBSTAR 단기통안채,2,296443929730
58,KODEX 보험,3,454799360
31,KINDEX 일본TOPIX레버리지(H),4,9135000
145,TIGER 차이나CSI300레버리지(합성),5,21067105050
51,KODEX 레버리지,6,677981063970
12,KBSTAR 미국S&P원유생산기업(합성 H),7,454748000
99,TIGER 200 에너지화학,8,464110510
63,KODEX 은선물(H),9,7329063300
67,KODEX 자동차,10,1575885285
68,KODEX 중국본토 A50,11,1209880320
112,TIGER 농산물선물Enhanced(H),12,395361255
43,KODEX 골드선물(H),13,3198680520
123,TIGER 미국나스닥100,14,5197508910
125,TIGER 미디어컨텐츠,15,744316605
64,KODEX 은행,16,5131720420
135,TIGER 원유선물인버스(H),17,5868200
65,KODEX 인버스,18,151034530270
132,TIGER 여행레저,19,187454565
69,KODEX 증권,20,819194250
71,KODEX 코스닥 150,21,129045826500
